순,이름,팀,정렬,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,비율,,,,,,WAR*,WPA
,,,WAR*,,,,,,,,,,,,,,,,,,,,타율,출루,장타,OPS,wOBA,wRC+,,
1,이정후,22키CF,9.23,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.441,182.5,9.23,6.72
2,피렐라,22삼LF,7.4,141,630,561,102,192,33,4,28,317,109,15,5,55,12,12,81,19,0,2,0.342,0.411,0.565,0.976,0.434,169.3,7.4,4.2
3,나성범,22KRF,6.5,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,5,0.32,0.402,0.508,0.91,0.411,157.4,6.5,3.74
4,오지환,22LSS,5.77,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.372,138.6,5.77,2.56
5,최정,22S3B,5.15,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,0.266,0.386,0.505,0.891,0.4,145.4,5.15,3.72
6,터크먼,22한CF,4.98,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.795,0.365,126.8,4.98,0.8
7,소크라테스,22KCF,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.38,137,4.97,0.61
8,김현수,22LLF,4.88,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,4.88,2.7
9,김혜성,22키2B,4.8,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.36,123.9,4.8,1.26
10,최지훈,22SCF,4.78,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,4.78,1.77
11,양의지,22NC,4.61,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,0.283,0.38,0.48,0.861,0.386,140.3,4.61,0.76
12,박건우,22NCF,4.47,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,0.336,0.408,0.458,0.867,0.4,151.9,4.47,1.02
13,박성한,22SSS,4.23,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,0.298,0.375,0.374,0.749,0.349,116.6,4.23,1.49
14,문보경,22L3B,4.02,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.377,138.3,4.02,1.1
15,마티니,22NLF,3.96,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,0.3,0.368,0.465,0.833,0.376,134.9,3.96,0.53
16,한유섬,22SRF,3.9,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,0.264,0.373,0.478,0.851,0.382,134.9,3.9,3.45
17,박병호,22K1B,3.85,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.909,0.399,147.8,3.85,3.71
18,푸이그,22키RF,3.78,126,547,473,65,131,30,0,21,224,73,6,3,58,12,1,100,6,0,4,0.277,0.368,0.474,0.841,0.382,143.4,3.78,1.35
19,한동희,22롯3B,3.77,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,0.307,0.359,0.458,0.817,0.372,129.2,3.77,0.32
20,정은원,22한2B,3.7,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3,0.276,0.379,0.37,0.749,0.352,118.2,3.7,-0.81
21,이대호,22롯DH,3.58,143,591,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.395,146.2,3.58,0.96
22,박해민,22LCF,3.45,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.331,103.9,3.45,0.6
23,장성우,22KC,3.39,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,0.26,0.353,0.439,0.792,0.36,121.8,3.39,0.5
24,노진혁,22N3B,3.31,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,0.28,0.353,0.455,0.807,0.362,125.1,3.31,1.13
25,허경민,22두3B,3.29,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.361,0.398,0.759,0.35,119.6,3.29,1.82
26,안치홍,22롯2B,3.24,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.79,0.354,117.2,3.24,0.87
27,김재환,22두LF,3.24,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.34,0.46,0.8,0.36,130.7,3.24,0.33
28,홍창기,22LRF,3.17,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.353,119.2,3.17,1.27
29,전준우,22롯LF,3.1,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,0.304,0.35,0.445,0.795,0.361,121.3,3.1,1.19
30,박찬호,22KSS,3.02,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,0.271,0.344,0.34,0.684,0.319,95,3.02,0.62
31,박동원,22키KC,2.94,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,0.242,0.334,0.436,0.771,0.344,111.5,2.94,-0.8
32,채은성,22L1B,2.89,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.79,0.359,127.3,2.89,-0.22
